epoch,dsc_l2,loss,val_dsc_l2,val_loss
0,0.40210724074477966,0.40210724074477966,0.48157666311559516,0.48157666311559516
1,0.462257282597292,0.462257282597292,0.40453402952760714,0.40453402952760714
2,0.4051886007602629,0.4051886007602629,0.3540507054481751,0.3540507054481751
3,0.37519943716018567,0.37519943716018567,0.3276354189739268,0.3276354189739268
4,0.36121116268920056,0.36121116268920056,0.3174855353103744,0.3174855353103744
5,0.35269721571159,0.35269721571159,0.3102619286913138,0.3102619286913138
6,0.34887369693977105,0.34887369693977105,0.3085067595681574,0.3085067595681574
7,0.34550980452251073,0.34550980452251073,0.3038475175953319,0.3038475175953319
8,0.345280805879486,0.345280805879486,0.306133207729739,0.306133207729739
9,0.34305387005322524,0.34305387005322524,0.3028173663167872,0.3028173663167872
10,0.342287820480032,0.342287820480032,0.30130901365962803,0.30130901365962803
11,0.34231099084732813,0.34231099084732813,0.30095722462631697,0.30095722462631697
12,0.340737622728576,0.340737622728576,0.3014256367061892,0.3014256367061892
13,0.3413418301894923,0.3413418301894923,0.29991300779784846,0.29991300779784846
14,0.3409898337399029,0.3409898337399029,0.30213352356456286,0.30213352356456286
15,0.3421856552850389,0.3421856552850389,0.3021814753739243,0.3021814753739243
16,0.33994931879662144,0.33994931879662144,0.29910138943511194,0.29910138943511194
17,0.3403417224284984,0.3403417224284984,0.3044441328980984,0.3044441328980984
18,0.34041410660188204,0.34041410660188204,0.3000837810910665,0.3000837810910665
19,0.3401604882378122,0.3401604882378122,0.30033913910643667,0.30033913910643667
20,0.3399285373444521,0.3399285373444521,0.30049200846343976,0.30049200846343976
21,0.34078398977479046,0.34078398977479046,0.3063178873087606,0.3063178873087606
22,0.3387615469563518,0.3387615469563518,0.30122836711060286,0.30122836711060286
23,0.33993288067636324,0.33993288067636324,0.29857971659328186,0.29857971659328186
24,0.3398103188319831,0.3398103188319831,0.29911925898403185,0.29911925898403185
25,0.33918327078110627,0.33918327078110627,0.3013596863955514,0.3013596863955514
26,0.33920914081091846,0.33920914081091846,0.2992030519068751,0.2992030519068751
27,0.3393968123970764,0.3393968123970764,0.2981329984389819,0.2981329984389819
28,0.3386087944961015,0.3386087944961015,0.29917892648114097,0.29917892648114097
29,0.3397453524528883,0.3397453524528883,0.30039957522327065,0.30039957522327065
30,0.33894788676530346,0.33894788676530346,0.29913298199828875,0.29913298199828875
31,0.3390927527578412,0.3390927527578412,0.30044418528803396,0.30044418528803396
32,0.3394737288130621,0.3394737288130621,0.29896427569990486,0.29896427569990486
33,0.33856680932963823,0.33856680932963823,0.299087081836839,0.299087081836839
34,0.3391904318775578,0.3391904318775578,0.29852432050766087,0.29852432050766087
35,0.3387273933447578,0.3387273933447578,0.2983406007162526,0.2983406007162526
36,0.33827993985012134,0.33827993985012134,0.2982695773243904,0.2982695773243904
37,0.3382119625544068,0.3382119625544068,0.2984618521653689,0.2984618521653689
38,0.3385811015888486,0.3385811015888486,0.29852920305779856,0.29852920305779856
39,0.3387043199476127,0.3387043199476127,0.2993272982346706,0.2993272982346706
