epoch,dsc_l2,loss,val_dsc_l2,val_loss
0,0.30753959289819977,0.30753959289819977,0.2639338684101135,0.2639338684101135
1,0.18486595724331642,0.18486595724331642,0.14948076964953008,0.14948076964953008
2,0.14552753132953303,0.14552753143275265,0.15513874370700273,0.15513874370700273
3,0.12384816390985355,0.12384816398492238,0.13026386744573584,0.13026386744573584
4,0.1099145652008447,0.1099145652196119,0.13455159220303226,0.13455159220303226
5,0.10313224587917928,0.1031322459448645,0.12338455379582368,0.12338455379582368
6,0.09699434582003268,0.0969943459232523,0.13707212374633193,0.13707212374633193
7,0.09127867112513303,0.09127867115328384,0.15183552981823936,0.15183552981823936
8,0.08875649069583687,0.08875649076152207,0.1205157517399798,0.1205157517399798
9,0.08494122497624805,0.08494122498563164,0.13043739716721398,0.13043739716721398
10,0.08075114810881522,0.08075114814634962,0.15797227805751002,0.15797227805751002
11,0.08117201272398233,0.08117201273336594,0.14764499248793492,0.14764499248793492
12,0.07604451462279264,0.07604451465094345,0.12724906081954637,0.12724906081954637
13,0.07500866739553227,0.07500866741429948,0.14003773835989144,0.14003773835989144
14,0.06719793656826845,0.06719793661518647,0.1288837566653378,0.1288837566653378
15,0.06395829319297067,0.06395829327742308,0.11374446257757835,0.11374446257757835
16,0.06479867155515877,0.06479867155515877,0.12813410608686954,0.12813410608686954
17,0.06256881702025081,0.06256881707655243,0.13147089428180814,0.13147089428180814
18,0.06187537016220372,0.06187537021850534,0.12568225590591756,0.12568225590591756
19,0.061294061061398356,0.06129406112708358,0.1284474717835203,0.1284474717835203
20,0.060947792719514754,0.06094779272889836,0.11506258387468819,0.11506258387468819
21,0.05875664695121479,0.058756646969982,0.14000859103587449,0.14000859103587449
22,0.058595879024518675,0.05859587903390228,0.11911484853834169,0.11911484853834169
23,0.05475812331217362,0.054758123340324434,0.13600972342567566,0.13600972342567566
24,0.05366753335920179,0.0536675333967362,0.13234317324991918,0.13234317324991918
25,0.0532652962769872,0.0532652962769872,0.12825629758274454,0.12825629758274454
26,0.05308604231737648,0.05308604233614368,0.1300726625113151,0.1300726625113151
27,0.052418532084570424,0.05241853210333763,0.12357895886605112,0.12357895886605112
28,0.05210018014155272,0.05210018011340191,0.1257939632010893,0.1257939632010893
29,0.05181031364722351,0.05181031363783991,0.135026022608782,0.135026022608782
30,0.050505055832472494,0.050505055832472494,0.12298110864547074,0.12298110864547074
31,0.05137081536457355,0.05137081536457355,0.12789903699746755,0.12789903699746755
32,0.04922715631273741,0.04922715633150462,0.12498690335191467,0.12498690335191467
33,0.048869585904576615,0.048869585923343825,0.12322451945585318,0.12322451945585318
34,0.04835550487745244,0.04835550489152784,0.12791462525980085,0.12791462525980085
35,0.048098814415672715,0.048098814448515326,0.127814531342214,0.127814531342214
36,0.0482993019505472,0.048299301988081605,0.13020673203162658,0.13020673203162658
37,0.047632259042272036,0.04763225908449825,0.12973601207073426,0.12973601207073426
38,0.04719088748050502,0.047190887471121414,0.12996306439113414,0.12996306439113414
39,0.04736611483060293,0.04736611483060293,0.12099486288542931,0.12099486288542931
