epoch,dsc_l2,loss,val_dsc_l2,val_loss
0,0.3215831545075097,0.3215831545075097,0.21499787195402587,0.21499787195402587
1,0.18705128540868524,0.18705128543024988,0.14751363166759157,0.14751363166759157
2,0.13320741586268553,0.13320741588425014,0.1197078972736485,0.1197078972736485
3,0.11035866420257799,0.11035866420257799,0.13030824662210086,0.13030824662210086
4,0.09657546663292928,0.09657546667605854,0.11671649647128378,0.11671649647128378
5,0.08902929965864904,0.08902929970177831,0.1271705301398905,0.1271705301398905
6,0.08195095079345831,0.08195095081502295,0.12222977858195958,0.12222977858195958
7,0.07507848814561122,0.07507848814561122,0.10152054098872547,0.10152054098872547
8,0.0704465576066122,0.07044655762817684,0.1398099633331737,0.1398099633331737
9,0.069951463948973,0.069951463948973,0.11316723161591934,0.11316723161591934
10,0.06569100192892223,0.06569100195048687,0.11889694734579986,0.11889694734579986
11,0.05969699922889773,0.05969699925046236,0.10921420349588251,0.10921420349588251
12,0.060948691202810115,0.06094869122437475,0.1032897883739609,0.1032897883739609
13,0.0505853676588939,0.05058536769124085,0.1079779527285415,0.1079779527285415
14,0.04774120809070971,0.04774120816618592,0.0986334774722783,0.0986334774722783
15,0.04659032321355795,0.0465903232459049,0.11965782383186185,0.11965782383186185
16,0.04471660239619301,0.04471660240697533,0.11125910477155548,0.11125910477155548
17,0.045137032836826595,0.04513703287995586,0.10637779361130591,0.10637779361130591
18,0.042673738465769766,0.042673738557419454,0.11755743774816267,0.11755743774816267
19,0.04307675594261776,0.04307675597496471,0.09633858823496053,0.09633858823496053
20,0.04231479185782966,0.04231479185782966,0.11048063097728623,0.11048063097728623
21,0.04046131978579696,0.04046131981814391,0.11298709931090856,0.11298709931090856
22,0.04149663195218864,0.04149663197375327,0.10496247784258464,0.10496247784258464
23,0.03917246066605303,0.03917246065527071,0.12280494390198818,0.12280494390198818
24,0.039931786094297546,0.03993178613742682,0.11333480902398244,0.11333480902398244
25,0.03640464697081687,0.03640464700855498,0.10369098235845056,0.10369098235845056
26,0.03556120189179042,0.03556120190257274,0.10175896053894973,0.10175896053894973
27,0.03453366145189695,0.03453366146807042,0.10578962262624349,0.10578962262624349
28,0.03377875017996894,0.03377875018536009,0.10505321375930156,0.10505321375930156
29,0.03354471094917112,0.03354471095456228,0.11181730133855444,0.11181730133855444
30,0.03237898080096231,0.03237898077939768,0.11039219377164403,0.11039219377164403
31,0.03266260675093976,0.03266260677789555,0.10839703561276452,0.10839703561276452
32,0.03186574420054725,0.031865744211329566,0.10680099088762306,0.10680099088762306
33,0.03189332298287521,0.03189332300443984,0.11610894153515498,0.11610894153515498
34,0.03114344972669647,0.03114344972669647,0.10842862963262531,0.10842862963262531
35,0.029503074489458426,0.029503074511023058,0.10764915681579429,0.10764915681579429
36,0.029246897470373148,0.029246897481155464,0.106555118265315,0.106555118265315
37,0.029003398425542844,0.029003398441716316,0.10620658785805233,0.10620658785805233
38,0.028480368291665347,0.02848036834288135,0.11223936619030105,0.11223936619030105
39,0.02793096567810056,0.027930965705056352,0.11095400762736288,0.11095400762736288
